Artist Name,Title,Thumbnail,Label,Genre,master release date
Ricky Williams,Discotheque Soul,https://i.discogs.com/CQ3rVRl_p1es5eT7cWryWCafKO-1aHRU44oPw5g_iWU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNTI3/MzktMTE4ODMzMzcw/OC5qcGVn.jpeg,,Funk / Soul,1971
Garnet Mimms,Stop And Check Yourself,https://i.discogs.com/bh12rB6G4yO8ZZ6Mc_zvJ_wweTNXoVTB2UxTbw9eGDQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI4NDkx/NDQtMTM2MzEyNTkz/MS05MzU3LmpwZWc.jpeg,,Funk / Soul,1972
William Stuckey,You Can Count On Me / Disco Fly,https://i.discogs.com/OgZ2OlrxNtACBZ_DGDpw-W-Ure8fZUyfmv8hVhuI_AE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0NzI1/NS0xMjQ3MTQ2Nzkz/LmpwZWc.jpeg,ICA Recording Group,Funk / Soul,1977
Jesse Gresham Plus 3,The Penguin,https://i.discogs.com/8ZyK43ozuHhvFtW34ju80PGn6uNRzhy1WkxpBJespgE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyNjc4/OTYtMTI4MzAyNDgy/MS5qcGVn.jpeg,Jewel Records (3),Funk / Soul,1971
Quiller,Quiller,https://i.discogs.com/wtBmxppusvUX1YjPdakxlbSqyxlzBT3csoHWdmoJ0kY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5MzYw/MjMtMTQ3OTAyOTg3/NC0zMDE5LmpwZWc.jpeg,,"Rock, Funk / Soul, Pop, Stage & Screen",1975
Duke Williams And The Extremes,I've Been Lovin' You Too Long (To Stop Now) / Chinese Chicken,https://i.discogs.com/YCVRmOEtwPMS5QqDmRQ3jOeCOPnaAH-EQo5MYX3ARyY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2OTUx/MDQtMTI4NTUxMzYx/NS5qcGVn.jpeg,,Funk / Soul,1973
Aaron Neville,"Where Is My Baby / You Can Give, But You Can't Take",https://i.discogs.com/bca0pU1jWRwSXgPwe5mUu2vuADlY2rAVbhea4dlzue8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ2ODU4/NzItMTc1NDIzNjIz/OS02NjI3LmpwZWc.jpeg,,Funk / Soul,1968
The Hoctor Band,Indiana Wants Me / Overture From Tommy,https://i.discogs.com/v9bSLaoa5oQ785nhw5jGxM0ocHXS7moUEmhgCVBnM5o/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTcxMzE1/NDctMTQzNDc3ODk2/My02MzAyLmpwZWc.jpeg,Hoctor Records,Jazz,
Unknown Artist,Drums No. 3 For Modern Jazz,https://i.discogs.com/Bqy8PKHvZtEBdX5Qtt_Ac5tpq7yREj65V4tJrLWYPDM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU5Njc4/MzMtMTQwNzY0NTEx/Ny04MDA2LmpwZWc.jpeg,Hoctor Records,"Jazz, Funk / Soul",
Black Velvet,Tropicana,https://i.discogs.com/tHWy9vVtpsrcaOn63wBO4hTbuhMU2lPzlUVU8R781OI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQxNjEy/MjAtMTY2MDIwMTc4/Ny01NDA0LmpwZWc.jpeg,MAM,"Rock, Funk / Soul",1971
